#GBE_ID	GBE_N	GBE_NAME	PATH
BIN10030500	23590	Microalbumin_higher_than_40_mg/L	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030500.phe
BIN10030510	14248	UACR_higher_than_30_mg/g	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030510.phe
BIN10030800	38696	Oestradiol_higher_than_212_pmol/L	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030800.phe
BIN10030820	16700	Rheumatoid_factor_higher_than_16_IU/mL	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/extras/adjusted_biomarkers/phe/BIN10030820.phe
BIN1020483	2433	Ever_attempted_suicide_missing_is_control	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/10484/phe/BIN1020483.phe
BIN1210	119602	Snoring	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/9796/9797/phe/BIN1210.phe
BIN1677	182996	Breastfed_as_a_baby	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1677.phe
BIN1920	151574	Mood_swings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1920.phe
BIN1930	144545	Miserableness	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1930.phe
BIN1940	92929	Irritability	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1940.phe
BIN1950	185019	Sensitivity_/_hurt_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1950.phe
BIN1960	137284	Fed-up_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1960.phe
BIN1970	79710	Nervous_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1970.phe
BIN1980	189254	Worrier_/_anxious_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1980.phe
BIN1990	57630	Tense_/_'highly_strung'	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN1990.phe
BIN2000	158258	Worry_too_long_after_embarrassment	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2000.phe
BIN2010	71402	Suffer_from_'nerves'	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2010.phe
BIN2020	60768	Loneliness,_isolation	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2020.phe
BIN2030	95955	Guilty_feelings	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2030.phe
BIN2040	85124	Risk_taking	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10136/21731/phe/BIN2040.phe
BIN20401	6375	Ever_addicted_to_any_substance_or_behaviour	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20401.phe
BIN20404	658	Ever_physically_dependent_on_alcohol	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20404.phe
BIN20406	2510	Ever_addicted_to_alcohol	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20406.phe
BIN20415	1081	Ongoing_addiction_to_alcohol	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20415.phe
BIN20421	27255	Ever_felt_worried,_tense,_or_anxious_for_most_of_a_month_or_longer	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20421.phe
BIN20425	23817	Ever_worried_more_than_most_people_would_in_similar_situation	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20425.phe
BIN20428	20678	Professional_informed_about_anxiety	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20428.phe
BIN20431	1474	Ever_addicted_to_a_behaviour_or_miscellanous	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20431.phe
BIN20432	698	Ongoing_behavioural_or_miscellanous_addiction	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20432.phe
BIN20435	43070	Difficulty_concentrating_during_worst_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20435.phe
BIN20437	30310	Thoughts_of_death_during_worst_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20437.phe
BIN20441	43082	Ever_had_prolonged_loss_of_interest_in_normal_activities	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20441.phe
BIN20446	59971	Ever_had_prolonged_feelings_of_sadness_or_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20446.phe
BIN20447	45223	Depression_possibly_related_to_stressful_or_traumatic_event	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20447.phe
BIN20448	39804	Professional_informed_about_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20448.phe
BIN20449	45512	Feelings_of_tiredness_during_worst_episode_of_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20449.phe
BIN20450	29286	Feelings_of_worthlessness_during_worst_period_of_depression	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20450.phe
BIN20456	449	Ever_addicted_to_illicit_or_recreational_drugs	/oak/stanford/groups/mrivas/ukbb24983/phenotypedata/10483/24613/phe/BIN20456.phe
