PHE	TRAIN_RAW	TRAIN_RESID	TRAIN_JOINT	TRAIN_COVAR	TEST_RAW	TEST_RESID	TEST_JOINT	TEST_COVAR	GBE_N	GBE_short_name
BIN_FC10001259	0.0563384343347	-0.00216334092758	0.582323120683	0.0397146957584	0.00743759555203	-0.0316538711445	0.115457899728	0.0403470054831	31369	Smoking/smokers in household
BIN_FC10001767	0.00781823183876	-0.0372291129334	0.462681233539	0.0399682483856	0.00635660470066	-0.0294560431503	0.204586858711	0.0313484058724	4609	Adopted as a child
BIN_FC10001777	0.0146314197476	-0.0125284763772	0.935246098514	0.0173654929923	0.00651666507704	0.0093075324054	0.837492822804	-0.0077054505757	7389	Part of a multiple birth
BIN_FC10001787	0.073183285402	-0.030339778183	0.696997411058	0.163735450882	0.0545212624521	-0.0428206867889	0.579002261567	0.161801057789	89373	Maternal smoking around birth
BIN_FC10001797	0.0149060970372	0.0138443200377	0.0346085702325	0.00208798339162	0.00239104831821	0.00273266845232	0.0078275982343	-0.00417469370507	76102	Father still alive
BIN_FC10001835	0.0101547810026	0.0106312694288	0.0241423171057	-8.99556520434e-06	0.00925712748901	0.00760005771342	0.0275489030075	0.00226162322402	130985	Mother still alive
BIN_FC100020544	0.000797818075185	0.000708305399618	0.0145488327883	-0.00062658956068	0.00124272228519	0.0102859050433	0.0346680755644	-0.0101573776295	330	Bulimia nervosa diagnosed by  a professional
BIN_FC10002159	0.0141705299769	0.0119334772494	0.153059733726	-0.00680416112952	0.000814139914214	0.0117059688565	-0.00303870507802	-0.0128626187966	10143	Ever had same-sex intercourse
BIN_FC10002188	0.02351306733	0.0216887647456	0.151850602612	-0.00110156305373	0.0212465779412	0.0227041347364	0.147917152506	-0.00739419461591	110684	Long-standing illness, disability or infirmity
BIN_FC10002227	0.0096831563572	0.00534543542496	0.126510229035	0.00136722596446	0.00156191313137	0.00256393503083	0.0167290385251	-0.00201819323848	51971	Other eye problems
BIN_FC10002257	0.0278177982587	0.0251749904752	0.163125529951	0.00138034386012	0.0250002529888	0.0198435643752	0.153995470294	0.00473353159562	129397	Hearing problems with background noise
BIN_FC10002316	0.0274649635664	0.0252760116977	0.495474018157	-0.0102775706445	0.0248685059611	0.0216866024637	0.401602324191	-0.00763805905056	71185	Wheeze or whistling in the chest in last year
BIN_FC10002335	0.0487062654282	0.0171618833883	0.663238957711	0.0215376677682	0.03089279453	0.00616755892204	0.461587344468	0.0200336894364	54014	Chest pain or discomfort
